web-scraper-order,web-scraper-start-url,station-name-link,station-name-link-href,coordinates-link,coordinates-link-href,coordinates
"1625382791-259","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Heathmont","https://en.wikipedia.org/wiki/Heathmont_railway_station","37°49′42″S 145°14′40″E﻿ / ﻿37.82833°S 145.24451°E﻿ / -37.82833; 145.24451","https://geohack.toolforge.org/geohack.php?pagename=Heathmont_railway_station&params=37.82833_S_145.24451_E_type:railwaystation_region:AU-VIC","-37.82833"
"1625383027-347","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Croydon","https://en.wikipedia.org/wiki/Croydon_railway_station,_Melbourne","37°47′43″S 145°16′50″E﻿ / ﻿37.7954°S 145.2805°E﻿ / -37.7954; 145.2805","https://geohack.toolforge.org/geohack.php?pagename=Croydon_railway_station,_Melbourne&params=37.7954_S_145.2805_E_type:railwaystation_region:AU-VIC","-37.7954"
"1625382613-192","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Merri","https://en.wikipedia.org/wiki/Merri_railway_station","37°46′40″S 144°59′35″E﻿ / ﻿37.7778°S 144.9931°E﻿ / -37.7778; 144.9931","https://geohack.toolforge.org/geohack.php?pagename=Merri_railway_station&params=37.7778_S_144.9931_E_type:railwaystation_region:AU-VIC","144.9931"
"1625382469-138","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Officer","https://en.wikipedia.org/wiki/Officer_railway_station","38°03′58″S 145°24′40″E﻿ / ﻿38.0662°S 145.4110°E﻿ / -38.0662; 145.4110","https://geohack.toolforge.org/geohack.php?pagename=Officer_railway_station&params=38.0662_S_145.411_E_type:railwaystation_region:AU-VIC","145.411"
"1625382680-217","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Laverton","https://en.wikipedia.org/wiki/Laverton_railway_station,_Melbourne","37°51′50″S 144°46′20″E﻿ / ﻿37.8638°S 144.7722°E﻿ / -37.8638; 144.7722","https://geohack.toolforge.org/geohack.php?pagename=Laverton_railway_station,_Melbourne&params=37.8638_S_144.7722_E_type:railwaystation_region:AU-VIC","-37.8638"
"1625382744-242","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Ivanhoe","https://en.wikipedia.org/wiki/Ivanhoe_railway_station,_Melbourne","37°46′08″S 145°02′44″E﻿ / ﻿37.7689°S 145.0455°E﻿ / -37.7689; 145.0455","https://geohack.toolforge.org/geohack.php?pagename=Ivanhoe_railway_station,_Melbourne&params=37.7689_S_145.0455_E_type:railwaystation_region:AU-VIC","145.0455"
"1625382575-178","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Moonee Ponds","https://en.wikipedia.org/wiki/Moonee_Ponds_railway_station","37°45′57″S 144°55′10″E﻿ / ﻿37.7659°S 144.9194°E﻿ / -37.7659; 144.9194","https://geohack.toolforge.org/geohack.php?pagename=Moonee_Ponds_railway_station&params=37.7659_S_144.9194_E_type:railwaystation_region:AU-VIC","144.9194"
"1625382454-132","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Parkdale","https://en.wikipedia.org/wiki/Parkdale_railway_station","37°59′35″S 145°04′34″E﻿ / ﻿37.9931°S 145.0762°E﻿ / -37.9931; 145.0762","https://geohack.toolforge.org/geohack.php?pagename=Parkdale_railway_station&params=37.9931_S_145.0762_E_type:railwaystation_region:AU-VIC","145.0762"
"1625382364-98","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Ruthven","https://en.wikipedia.org/wiki/Ruthven_railway_station","37°42′28″S 145°00′34″E﻿ / ﻿37.7079°S 145.0094°E﻿ / -37.7079; 145.0094","https://geohack.toolforge.org/geohack.php?pagename=Ruthven_railway_station&params=37.7079_S_145.0094_E_type:railwaystation_region:AU-VIC","145.0094"
"1625382332-85","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Showgrounds","https://en.wikipedia.org/wiki/Showgrounds_railway_station,_Melbourne","37°47′00″S 144°54′54″E﻿ / ﻿37.7834°S 144.9149°E﻿ / -37.7834; 144.9149","https://geohack.toolforge.org/geohack.php?pagename=Showgrounds_railway_station,_Melbourne&params=37.7834_S_144.9149_E_type:railwaystation_region:AU-VIC","-37.7834"
"1625382231-48","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Toorak","https://en.wikipedia.org/wiki/Toorak_railway_station","37°51′04″S 145°00′50″E﻿ / ﻿37.8510°S 145.0140°E﻿ / -37.8510; 145.0140","https://geohack.toolforge.org/geohack.php?pagename=Toorak_railway_station&params=37.851_S_145.014_E_type:railwaystation_region:AU-VIC","145.014"
"1625382459-134","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Pakenham","https://en.wikipedia.org/wiki/Pakenham_railway_station","38°04′49″S 145°29′09″E﻿ / ﻿38.0803°S 145.4859°E﻿ / -38.0803; 145.4859","https://geohack.toolforge.org/geohack.php?pagename=Pakenham_railway_station&params=38.0803_S_145.4859_E_type:railwaystation_region:AU-VIC","145.4859"
"1625383123-384","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Camberwell","https://en.wikipedia.org/wiki/Camberwell_railway_station,_Melbourne","37°49′35″S 145°03′31″E﻿ / ﻿37.8265°S 145.0587°E﻿ / -37.8265; 145.0587","https://geohack.toolforge.org/geohack.php?pagename=Camberwell_railway_station,_Melbourne&params=37.8265_S_145.0587_E_type:railwaystation_region:AU-VIC","145.0587"
"1625383262-436","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Altona","https://en.wikipedia.org/wiki/Altona_railway_station","37°52′02″S 144°49′48″E﻿ / ﻿37.8672°S 144.8301°E﻿ / -37.8672; 144.8301","https://geohack.toolforge.org/geohack.php?pagename=Altona_railway_station&params=37.8672_S_144.8301_E_region:AU-VIC_type:railwaystation","144.8301"
"1625382226-46","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Tooronga","https://en.wikipedia.org/wiki/Tooronga_railway_station","37°50′58″S 145°02′30″E﻿ / ﻿37.84939°S 145.04170°E﻿ / -37.84939; 145.04170","https://geohack.toolforge.org/geohack.php?pagename=Tooronga_railway_station&params=37.84939_S_145.04170_E_type:railwaystation_region:AU-VIC","145.0417"
